Team,Goals,Goals Conceded
ARS,1.830,0.790
MCI,1.990,1.120
LIV,1.830,1.210
CHE,1.810,1.300
NEW,1.590,1.330
MUN,1.560,1.400
AVL,1.430,1.340
BOU,1.560,1.480
BHA,1.470,1.410
BRE,1.500,1.450
CRY,1.390,1.400
TOT,1.360,1.510
FUL,1.270,1.440
EVE,1.120,1.350
LEE,1.270,1.530
NFO,1.140,1.430
WHU,1.160,1.630
SUN,0.990,1.540
WOL,0.970,1.640
BUR,0.870,1.840
