Team,Goals,Goals Conceded
ARS,1.840,0.810
AVL,1.470,1.380
BOU,1.550,1.480
BRE,1.470,1.470
BHA,1.530,1.430
BUR,0.880,1.840
CHE,1.770,1.280
CRY,1.390,1.430
EVE,1.070,1.340
FUL,1.230,1.420
LEE,1.250,1.490
LIV,1.810,1.220
MCI,1.970,1.120
MUN,1.580,1.400
NEW,1.590,1.290
NFO,1.140,1.410
TOT,1.380,1.480
SUN,1.010,1.560
WHU,1.160,1.640
WOL,0.980,1.620
