Team,Goals,Goals Conceded
ARS,1.800,0.780
MCI,1.980,1.110
LIV,1.820,1.230
CHE,1.840,1.280
NEW,1.580,1.360
MUN,1.570,1.380
BHA,1.450,1.370
BOU,1.520,1.480
BRE,1.480,1.450
AVL,1.390,1.390
CRY,1.390,1.410
FUL,1.280,1.440
EVE,1.140,1.330
TOT,1.330,1.570
LEE,1.260,1.510
NFO,1.150,1.420
WHU,1.220,1.590
SUN,1.010,1.540
WOL,0.980,1.620
BUR,0.880,1.840
