Team,Goals,Goals Conceded
ARS,1.840,0.790
MCI,1.980,1.100
LIV,1.830,1.210
CHE,1.800,1.310
NEW,1.580,1.320
MUN,1.560,1.380
AVL,1.430,1.350
BHA,1.470,1.400
BRE,1.490,1.440
BOU,1.530,1.500
CRY,1.390,1.410
FUL,1.280,1.450
TOT,1.360,1.530
EVE,1.100,1.340
LEE,1.270,1.520
NFO,1.140,1.430
WHU,1.190,1.600
SUN,1.000,1.550
WOL,0.980,1.640
BUR,0.870,1.820
